"cameraid"	"setDate"	"flipDate"	"days"	"id"	"fID"	"repl"	"treat"	"NstartF"	"NstartM"	"deadF"	"deadM"	"cens"	"carriedF"	"carriedM"	"Notes"	"img_size"	"egg_count"	"NewAge"	"lifespan_age"	"age"	"sireid"	"damid"	"n_females"	"eggs_per_female"
"IMG_4384.JPG"	"2016-03-05"	"2016-05-03"	59	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	NA	154	61	58	58	"S11"	"D32"	14	11
"IMG_4973.JPG"	"2016-03-05"	"2016-05-10"	66	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	3137	292.534564818704	68	65	65	"S11"	"D32"	11	26.5940513471549
"IMG_5205.JPG"	"2016-03-05"	"2016-05-17"	73	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	3039	138.575271488131	75	72	72	"S11"	"D32"	4	34.6438178720327
"IMG_5594.JPG"	"2016-03-05"	"2016-05-24"	80	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	3289	0	82	79	79	"S11"	"D32"	1	0
"IMG_1899.JPG"	"2016-03-05"	"2016-03-08"	3	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	1	0	0	0	0	NA	2136	276	5	2	2	"S11"	"D33"	23	12
"IMG_1999.JPG"	"2016-03-05"	"2016-03-15"	10	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	1952	653.347625848892	12	9	9	"S11"	"D33"	22	29.6976193567678
"IMG_2276.JPG"	"2016-03-05"	"2016-03-22"	17	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	1958	594.857487892233	19	16	16	"S11"	"D33"	22	27.0389767223742
"IMG_3341.JPG"	"2016-03-05"	"2016-03-29"	24	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	3064	697.727490161219	26	23	23	"S11"	"D33"	22	31.714885916419
"IMG_2702.JPG"	"2016-03-05"	"2016-04-05"	31	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	2304	366.151671117485	33	30	30	"S11"	"D33"	20	18.3075835558742
"IMG_3677.JPG"	"2016-03-05"	"2016-04-12"	38	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	"IMG_3658-3706 are in fact HS"	NA	108	40	37	37	"S11"	"D33"	17	6.35294117647059
"IMG_3873.JPG"	"2016-03-05"	"2016-04-19"	45	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	2984	342.109114933314	47	44	44	"S11"	"D33"	15	22.8072743288876
"IMG_3596.JPG"	"2016-03-05"	"2016-04-26"	52	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	1	0	0	0	0	NA	2959	455.225204682016	54	51	51	"S11"	"D33"	14	32.5160860487154
"IMG_4176.JPG"	"2016-03-05"	"2016-05-03"	59	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	1	0	0	0	0	NA	2948	4.16317036236603	61	58	58	"S11"	"D33"	11	0.378470032942366
"IMG_4843.JPG"	"2016-03-05"	"2016-05-10"	66	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	1	0	0	0	0	NA	3042	0	68	65	65	"S11"	"D33"	9	0
"IMG_5147.JPG"	"2016-03-05"	"2016-05-17"	73	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	3319	0	75	72	72	"S11"	"D33"	6	0
"IMG_5503.JPG"	"2016-03-05"	"2016-05-24"	80	"S11D33_a_HS"	"S11D33_a"	"a"	"HS"	23	6	0	0	0	0	0	NA	3304	0	82	79	79	"S11"	"D33"	4	0
"IMG_2126.JPG"	"2016-03-11"	"2016-03-15"	4	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	2264	861.129355103419	6	3	3	"S11"	"D33"	15	57.4086236735612
"IMG_2512.JPG"	"2016-03-11"	"2016-03-22"	11	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	2233	725.661755360175	13	10	10	"S11"	"D33"	14	51.8329825257268
"IMG_3160.JPG"	"2016-03-11"	"2016-03-29"	18	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	3091	612	20	17	17	"S11"	"D33"	14	43.7142857142857
"IMG_2928.JPG"	"2016-03-11"	"2016-04-05"	25	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	3008	617	27	24	24	"S11"	"D33"	14	44.0714285714286
"IMG_3111.JPG"	"2016-03-11"	"2016-04-12"	32	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	2745	720.507626322426	34	31	31	"S11"	"D33"	14	51.4648304516019
"IMG_4738.JPG"	"2016-03-11"	"2016-04-19"	39	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	3074	89.4872002033757	41	38	38	"S11"	"D33"	14	6.3919428716697
"IMG_4077.JPG"	"2016-03-11"	"2016-04-26"	46	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	2923	485.415763596912	48	45	45	"S11"	"D33"	14	34.6725545426366
"IMG_4492.JPG"	"2016-03-11"	"2016-05-03"	53	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	2997	346.605488482058	55	52	52	"S11"	"D33"	14	24.7575348915756
"IMG_5075.JPG"	"2016-03-11"	"2016-05-10"	60	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	1	0	0	0	NA	3227	143.586788863222	62	59	59	"S11"	"D33"	14	10.2561992045159
"IMG_5352.JPG"	"2016-03-11"	"2016-05-17"	67	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	NA	13	69	66	66	"S11"	"D33"	13	1
"IMG_5460.JPG"	"2016-03-11"	"2016-05-24"	74	"S11D33_a_LY"	"S11D33_a"	"a"	"LY"	15	6	0	0	0	0	0	NA	3280	0	76	73	73	"S11"	"D33"	10	0
"IMG_2149.JPG"	"2016-03-08"	"2016-03-15"	7	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	"Bad image"	2068	1393	9	6	6	"S11"	"D33"	24	58.0416666666667
"IMG_2395.JPG"	"2016-03-08"	"2016-03-22"	14	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2016	1063.0008978266	16	13	13	"S11"	"D33"	23	46.2174303402871
"IMG_2785.JPG"	"2016-03-08"	"2016-03-29"	21	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3456	1353.78820024835	23	20	20	"S11"	"D33"	23	58.8603565325368
"IMG_2581.JPG"	"2016-03-08"	"2016-04-05"	28	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	1970	719.753901060785	30	27	27	"S11"	"D33"	23	31.2936478722081
"IMG_3430.JPG"	"2016-03-08"	"2016-04-12"	35	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2481	1212.86202422271	37	34	34	"S11"	"D33"	23	52.733131487944
"IMG_3893.JPG"	"2016-03-08"	"2016-04-19"	42	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3008	1016.09451117878	44	41	41	"S11"	"D33"	23	44.1780222251643
"IMG_3622.JPG"	"2016-03-08"	"2016-04-26"	49	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2905	168.386524220889	51	48	48	"S11"	"D33"	23	7.32115322699516
"IMG_4196.JPG"	"2016-03-08"	"2016-05-03"	56	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2994	333.87260358328	58	55	55	"S11"	"D33"	23	14.5162001557948
"IMG_4863.JPG"	"2016-03-08"	"2016-05-10"	63	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3021	241.69221064944	65	62	62	"S11"	"D33"	22	10.9860095749745
"IMG_5245.JPG"	"2016-03-08"	"2016-05-17"	70	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	2	1	0	0	0	NA	2912	0	72	69	69	"S11"	"D33"	19	0
"IMG_5534.JPG"	"2016-03-08"	"2016-05-24"	77	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3214	18.5872645526485	79	76	76	"S11"	"D33"	10	1.85872645526485
"IMG_5612.JPG"	"2016-03-08"	"2016-05-31"	84	"S11D33_a_STD"	"S11D33_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3245	1	86	83	83	"S11"	"D33"	3	0.333333333333333
"IMG_3209.JPG"	"2016-03-21"	"2016-03-29"	8	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	3096	985.354237818728	10	7	7	"S11"	"D33"	18	54.7419021010404
"IMG_2746.JPG"	"2016-03-21"	"2016-04-05"	15	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	2312	844.968180269918	17	14	14	"S11"	"D33"	18	46.9426766816621
"IMG_3961.JPG"	"2016-03-21"	"2016-04-12"	22	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	2942	364.240870155089	24	21	21	"S11"	"D33"	18	20.235603897505
"IMG_3910.JPG"	"2016-03-21"	"2016-04-19"	29	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	1	0	0	0	0	NA	2952	634.692129346804	31	28	28	"S11"	"D33"	18	35.2606738526002
"IMG_3639.JPG"	"2016-03-21"	"2016-04-26"	36	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	3070	561.423319074128	38	35	35	"S11"	"D33"	14	40.101665648152
"IMG_4217.JPG"	"2016-03-21"	"2016-05-03"	43	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	2989	372.529427441918	45	42	42	"S11"	"D33"	13	28.6561098032245
"IMG_4877.JPG"	"2016-03-21"	"2016-05-10"	50	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	3252	449.642194350348	52	49	49	"S11"	"D33"	13	34.5878611038729
"IMG_5256.JPG"	"2016-03-21"	"2016-05-17"	57	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	NA	165	59	56	56	"S11"	"D33"	13	12.6923076923077
"IMG_5541.JPG"	"2016-03-21"	"2016-05-24"	64	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	3234	12.1128414660284	66	63	63	"S11"	"D33"	11	1.10116740600258
"IMG_5618.JPG"	"2016-03-21"	"2016-05-31"	71	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	0	0	0	0	0	NA	3245	0	73	70	70	"S11"	"D33"	8	0
"IMG_5705.JPG"	"2016-03-21"	"2016-06-07"	78	"S11D33_b_LY"	"S11D33_b"	"b"	"LY"	18	6	1	0	0	0	0	NA	3060	1	80	77	77	"S11"	"D33"	0	0
"IMG_2019.JPG"	"2016-03-11"	"2016-03-15"	4	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	1	0	0	0	0	NA	1976	593.183549336219	6	3	3	"S13"	"D37"	24	24.7159812223425
"IMG_2246.JPG"	"2016-03-11"	"2016-03-22"	11	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	0	0	0	0	0	NA	2234	757.27493121117	13	10	10	"S13"	"D37"	23	32.9249970091813
"IMG_3288.JPG"	"2016-03-11"	"2016-03-29"	18	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	0	0	0	0	0	NA	3000	648.439608953479	20	17	17	"S13"	"D37"	22	29.4745276797036
"IMG_2694.JPG"	"2016-03-11"	"2016-04-05"	25	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	0	0	0	0	0	NA	2360	260.513487394159	27	24	24	"S13"	"D37"	19	13.71123617864
"IMG_3522.JPG"	"2016-03-11"	"2016-04-12"	32	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	1	0	0	0	0	NA	3153	498.61168144176	34	31	31	"S13"	"D37"	16	31.16323009011
"IMG_3904.JPG"	"2016-03-11"	"2016-04-19"	39	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	0	0	0	0	0	NA	2928	232.839854061709	41	38	38	"S13"	"D37"	14	16.631418147265
"IMG_3633.JPG"	"2016-03-11"	"2016-04-26"	46	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	1	0	0	0	0	NA	3042	226.092108206407	48	45	45	"S13"	"D37"	11	20.5538280187643
"IMG_4211.JPG"	"2016-03-11"	"2016-05-03"	53	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	1	0	0	0	0	NA	3079	56.6744732440838	55	52	52	"S13"	"D37"	9	6.29716369378709
"IMG_4872.JPG"	"2016-03-11"	"2016-05-10"	60	"S13D37_a_HS"	"S13D37_a"	"a"	"HS"	24	6	1	0	0	0	0	NA	3064	0	62	59	59	"S13"	"D37"	3	0
"IMG_1977.JPG"	"2016-02-29"	"2016-03-08"	8	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	0	0	0	0	0	NA	2104	522.6104125023	10	7	7	"S13"	"D37"	21	24.8862101191572
"IMG_2117.JPG"	"2016-02-29"	"2016-03-15"	15	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	0	0	0	0	0	NA	NA	556	17	14	14	"S13"	"D37"	21	26.4761904761905
"IMG_2529.JPG"	"2016-02-29"	"2016-03-22"	22	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	0	0	0	0	0	NA	2304	912	24	21	21	"S13"	"D37"	20	45.6
"IMG_3512.JPG"	"2016-02-29"	"2016-03-29"	29	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	0	0	0	0	0	NA	3113	601.853621769907	31	28	28	"S13"	"D37"	20	30.0926810884954
"IMG_2968.JPG"	"2016-02-29"	"2016-04-05"	36	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	0	0	0	0	0	NA	2656	827.766708410186	38	35	35	"S13"	"D37"	19	43.566668863694
"IMG_4243.JPG"	"2016-02-29"	"2016-04-12"	43	"S13D37_a_LY"	"S13D37_a"	"a"	"LY"	21	6	2	0	0	0	0	NA	2949	389.733793498394	45	42	42	"S13"	"D37"	19	20.5123049209681
