"id"	"egg_total"	"repl"	"treat"	"sireid"	"damid"
"S53D157_b_HS"	231.110598123738	"b"	"HS"	"S53"	"D157"
"S53D157_b_LY"	252.241430681564	"b"	"LY"	"S53"	"D157"
"S53D157_b_STD"	309.814266591165	"b"	"STD"	"S53"	"D157"
"S53D158_a_HS"	224.376060151858	"a"	"HS"	"S53"	"D158"
"S53D158_a_LY"	335.639365893005	"a"	"LY"	"S53"	"D158"
"S53D158_a_STD"	225.301320788901	"a"	"STD"	"S53"	"D158"
"S53D158_b_HS"	197.870615418556	"b"	"HS"	"S53"	"D158"
"S53D158_b_STD"	323.806128952352	"b"	"STD"	"S53"	"D158"
"S53D159_a_HS"	183.40459105383	"a"	"HS"	"S53"	"D159"
"S53D159_a_LY"	318.168646652826	"a"	"LY"	"S53"	"D159"
"S53D159_a_STD"	248.109506061075	"a"	"STD"	"S53"	"D159"
"S53D159_b_LY"	251.198132368628	"b"	"LY"	"S53"	"D159"
"S55D163_a_HS"	205.685709826477	"a"	"HS"	"S55"	"D163"
"S55D163_a_STD"	460.116695593009	"a"	"STD"	"S55"	"D163"
"S55D163_b_HS"	138.514573043295	"b"	"HS"	"S55"	"D163"
"S55D163_b_LY"	355.932796133596	"b"	"LY"	"S55"	"D163"
"S55D163_b_STD"	358.879525603321	"b"	"STD"	"S55"	"D163"
"S55D164_a_HS"	232.065817186417	"a"	"HS"	"S55"	"D164"
"S55D164_a_LY"	394.942273720177	"a"	"LY"	"S55"	"D164"
"S55D164_a_STD"	454.559225657581	"a"	"STD"	"S55"	"D164"
"S55D164_b_HS"	222.494879429232	"b"	"HS"	"S55"	"D164"
"S55D164_b_LY"	285.122528674204	"b"	"LY"	"S55"	"D164"
"S55D164_b_STD"	246.610036273884	"b"	"STD"	"S55"	"D164"
"S55D165_a_HS"	162.139658435746	"a"	"HS"	"S55"	"D165"
"S55D165_a_LY"	235.344370633245	"a"	"LY"	"S55"	"D165"
"S55D165_a_STD"	240.330411881667	"a"	"STD"	"S55"	"D165"
"S55D165_b_HS"	154.654319218676	"b"	"HS"	"S55"	"D165"
"S55D165_b_LY"	287.159583718858	"b"	"LY"	"S55"	"D165"
"S55D165_b_STD"	269.602843762434	"b"	"STD"	"S55"	"D165"
"S57D169_a_HS"	203.22213863377	"a"	"HS"	"S57"	"D169"
"S57D169_a_LY"	287.88018490676	"a"	"LY"	"S57"	"D169"
"S57D169_a_STD"	362.115745057912	"a"	"STD"	"S57"	"D169"
"S57D169_b_HS"	281.381834047513	"b"	"HS"	"S57"	"D169"
"S57D169_b_LY"	279.995797112908	"b"	"LY"	"S57"	"D169"
"S57D169_b_STD"	293.189779127416	"b"	"STD"	"S57"	"D169"
"S57D170_a_HS"	273.863980310943	"a"	"HS"	"S57"	"D170"
"S57D170_a_LY"	297.690710708807	"a"	"LY"	"S57"	"D170"
"S57D170_a_STD"	276.314738507509	"a"	"STD"	"S57"	"D170"
"S57D170_b_HS"	236.534730167476	"b"	"HS"	"S57"	"D170"
"S57D170_b_LY"	306.727451313992	"b"	"LY"	"S57"	"D170"
"S57D170_b_STD"	335.568071217733	"b"	"STD"	"S57"	"D170"
"S57D171_a_HS"	163.243980980718	"a"	"HS"	"S57"	"D171"
"S57D171_a_LY"	299.679694663657	"a"	"LY"	"S57"	"D171"
"S57D171_a_STD"	298.580549295623	"a"	"STD"	"S57"	"D171"
"S57D171_b_HS"	200.844509154599	"b"	"HS"	"S57"	"D171"
"S57D171_b_LY"	305.905248365955	"b"	"LY"	"S57"	"D171"
"S57D171_b_STD"	326.846426744611	"b"	"STD"	"S57"	"D171"
"S59D175_a_HS"	115.988637955292	"a"	"HS"	"S59"	"D175"
"S59D175_a_LY"	265.647845114706	"a"	"LY"	"S59"	"D175"
"S59D175_a_STD"	257.861869028815	"a"	"STD"	"S59"	"D175"
"S59D175_b_LY"	243.494690543736	"b"	"LY"	"S59"	"D175"
"S59D175_b_STD"	153.798736545648	"b"	"STD"	"S59"	"D175"
"S59D176_a_HS"	260.394460397222	"a"	"HS"	"S59"	"D176"
"S59D176_a_LY"	224.727950581461	"a"	"LY"	"S59"	"D176"
"S59D176_a_STD"	318.697767430529	"a"	"STD"	"S59"	"D176"
"S59D176_b_HS"	127.21976462936	"b"	"HS"	"S59"	"D176"
"S59D176_b_LY"	289.091525746435	"b"	"LY"	"S59"	"D176"
"S59D176_b_STD"	172.274085699729	"b"	"STD"	"S59"	"D176"
"S59D177_a_HS"	165.060432268996	"a"	"HS"	"S59"	"D177"
"S59D177_a_LY"	264.734699405381	"a"	"LY"	"S59"	"D177"
"S59D177_a_STD"	300.396035630795	"a"	"STD"	"S59"	"D177"
