camera_id,img_size
IMG_2404.JPG,2069
IMG_2405.JPG,2063
IMG_2406.JPG,2069
IMG_2407.JPG,2030
IMG_2408.JPG,2080
IMG_2409.JPG,2068
IMG_2410.JPG,2084
IMG_2411.JPG,2074
IMG_2412.JPG,2052
IMG_2413.JPG,2067
IMG_2414.JPG,2047
IMG_2415.JPG,2057
IMG_2417.JPG,2051
IMG_2419.JPG,2068
IMG_2420.JPG,2075
IMG_2421.JPG,2063
IMG_2422.JPG,2085
IMG_2423.JPG,2062
IMG_2424.JPG,2068
IMG_2426.JPG,2053
IMG_2427.JPG,2080
IMG_2428.JPG,2073
IMG_2429.JPG,2051
IMG_2430.JPG,2096
IMG_2431.JPG,2047
IMG_2432.JPG,2074
IMG_2433.JPG,2086
IMG_2434.JPG,2058
IMG_2435.JPG,2057
IMG_2436.JPG,2068
IMG_2437.JPG,2090
IMG_2438.JPG,2085
IMG_2439.JPG,2090
IMG_2440.JPG,2096
IMG_2441.JPG,2111
IMG_2442.JPG,2113
IMG_2443.JPG,2141
IMG_2444.JPG,2096
IMG_2445.JPG,2112
IMG_2446.JPG,2074
IMG_2447.JPG,2096
IMG_2448.JPG,2074
IMG_2449.JPG,2090
IMG_2450.JPG,2080
IMG_2451.JPG,2107
IMG_2452.JPG,2112
IMG_2453.JPG,2068
IMG_2454.JPG,2101
IMG_2455.JPG,2085
IMG_2457.JPG,2101
IMG_2459.JPG,2095
IMG_2460.JPG,2090
IMG_2461.JPG,2186
IMG_2462.JPG,2142
IMG_2463.JPG,2040
IMG_2464.JPG,2102
IMG_2465.JPG,2056
IMG_2466.JPG,2073
IMG_2467.JPG,2090
IMG_2468.JPG,2114
IMG_2469.JPG,2220
IMG_2471.JPG,2296
IMG_2472.JPG,2260
IMG_2473.JPG,2280
IMG_2474.JPG,2200
IMG_2475.JPG,2278
IMG_2476.JPG,2271
IMG_2477.JPG,2306
IMG_2479.JPG,2294
IMG_2480.JPG,2310
IMG_2481.JPG,2288
IMG_2482.JPG,2199
IMG_2483.JPG,2272
IMG_2484.JPG,2300
IMG_2485.JPG,2305
IMG_2486.JPG,2305
IMG_2487.JPG,2344
IMG_2488.JPG,2294
IMG_2489.JPG,2294
IMG_2490.JPG,2272
IMG_2491.JPG,2293
IMG_2492.JPG,2272
IMG_2493.JPG,2331
IMG_2494.JPG,2316
IMG_2495.JPG,2232
IMG_2496.JPG,2255
IMG_2497.JPG,2239
IMG_2498.JPG,2276
IMG_2499.JPG,2298
IMG_2500.JPG,2299
IMG_2501.JPG,2298
IMG_2502.JPG,2316
IMG_2503.JPG,2256
IMG_2504.JPG,2289
IMG_2505.JPG,2278
IMG_2506.JPG,2294
IMG_2507.JPG,2305
IMG_2508.JPG,2272
IMG_2509.JPG,2234
IMG_2510.JPG,2271
IMG_2511.JPG,2267
IMG_2512.JPG,2233
IMG_2513.JPG,2344
IMG_2514.JPG,2310
IMG_2515.JPG,2260
IMG_2516.JPG,2266
IMG_2517.JPG,2282
IMG_2518.JPG,2273
IMG_2520.JPG,2321
IMG_2521.JPG,2277
IMG_2522.JPG,2244
IMG_2523.JPG,2266
IMG_2524.JPG,2195
IMG_2525.JPG,2256
IMG_2526.JPG,2322
IMG_2527.JPG,2310
IMG_2528.JPG,2260
IMG_2529.JPG,2304
IMG_2564.JPG,1964
IMG_2565.JPG,1953
IMG_2566.JPG,2014
IMG_2567.JPG,1996
IMG_2568.JPG,1992
IMG_2569.JPG,1975
IMG_2570.JPG,1986
IMG_2571.JPG,1996
IMG_2572.JPG,1975
IMG_2573.JPG,1969
IMG_2574.JPG,1980
IMG_2575.JPG,1958
IMG_2576.JPG,1992
IMG_2577.JPG,1998
IMG_2578.JPG,2003
IMG_2579.JPG,1985
IMG_2580.JPG,2020
IMG_2581.JPG,1970
IMG_2582.JPG,1963
IMG_2583.JPG,1968
IMG_2584.JPG,1986
IMG_2585.JPG,2024
IMG_2586.JPG,1969
IMG_2587.JPG,1997
IMG_2588.JPG,2456
IMG_2589.JPG,2304
IMG_2591.JPG,2280
IMG_2592.JPG,2308
IMG_2593.JPG,2280
IMG_2594.JPG,2324
IMG_2595.JPG,2284
IMG_2596.JPG,2392
IMG_2597.JPG,2344
IMG_2598.JPG,2368
IMG_2599.JPG,2372
IMG_2600.JPG,2371
IMG_2601.JPG,2316
IMG_2602.JPG,2338
IMG_2603.JPG,2327
IMG_2604.JPG,2328
IMG_2605.JPG,2344
IMG_2606.JPG,2312
IMG_2607.JPG,2344
IMG_2608.JPG,2360
IMG_2609.JPG,2360
IMG_2610.JPG,2344
IMG_2611.JPG,2344
IMG_2612.JPG,2392
IMG_2613.JPG,2344
IMG_2614.JPG,2200
IMG_2615.JPG,2344
IMG_2616.JPG,2264
IMG_2617.JPG,2276
IMG_2618.JPG,2336
IMG_2619.JPG,2344
IMG_2621.JPG,2280
IMG_2622.JPG,2364
IMG_2623.JPG,2432
IMG_2624.JPG,2368
IMG_2625.JPG,2368
IMG_2626.JPG,2408
IMG_2627.JPG,2256
IMG_2628.JPG,2376
IMG_2629.JPG,2328
IMG_2630.JPG,2304
IMG_2631.JPG,2336
IMG_2632.JPG,2312
IMG_2633.JPG,2336
IMG_2634.JPG,2320
IMG_2635.JPG,2280
IMG_2637.JPG,2344
IMG_2638.JPG,2344
IMG_2639.JPG,2368
IMG_2640.JPG,2368
IMG_2641.JPG,2408
IMG_2642.JPG,2376
IMG_2643.JPG,2352
IMG_2644.JPG,2368
IMG_2645.JPG,2424
IMG_2646.JPG,2368
IMG_2647.JPG,2344
IMG_2648.JPG,2384
IMG_2649.JPG,2360
IMG_2650.JPG,2344
IMG_2651.JPG,2392
IMG_2652.JPG,2368
IMG_2653.JPG,2344
IMG_2654.JPG,2336
IMG_2655.JPG,2376
IMG_2656.JPG,2368
IMG_2657.JPG,2376
IMG_2658.JPG,2304
IMG_2659.JPG,2320
IMG_2660.JPG,2328
IMG_2661.JPG,2336
IMG_2662.JPG,2320
IMG_2663.JPG,2328
IMG_2664.JPG,2320
IMG_2665.JPG,2336
IMG_2666.JPG,2312
IMG_2667.JPG,2336
IMG_2668.JPG,2312
IMG_2669.JPG,2392
IMG_2670.JPG,2320
IMG_2671.JPG,2384
IMG_2672.JPG,2408
IMG_2673.JPG,2384
IMG_2674.JPG,2360
IMG_2675.JPG,2248
IMG_2676.JPG,2336
IMG_2677.JPG,2360
IMG_2678.JPG,2328
