"fID"	"treat"	"camera_id"	"handcounted"	"handcount"	"test_case"	"visually_recheck"	"setDate.x"	"flipDate.x"	"days.x"	"repl.x"	"NstartF.x"	"NstartM.x"	"box.x"	"ccoord.x"	"rcoord.x"	"deadF.x"	"deadM "	"cens.x"	"carriedF.x"	"carriedM.x"	"NA"	"id.x"	"setDate.y"	"flipDate.y"	"days.y"	"repl.y"	"NstartF.y"	"NstartM.y"	"box.y"	"ccoord.y"	"rcoord.y"	"deadF.y"	"deadM"	"cens.y"	"carriedF.y"	"carriedM.y"	"censSex"	"notes"	"flipper"	"time"	"id.y"
"S11D33_a"	"LY"	"IMG_3111.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	15	6	4	1	10	0	0	0	0	0	NA	"S11D33_a_LY"	"3/11/16"	2016-04-12	32	"a"	15	6	4	1	10	0	0	0	0	0	""	""	""	""	"S11D33_a_LY"
"S55D165_a"	"LY"	"IMG_3112.JPG"	NA	NA	NA	NA	2016-03-05	2016-04-12	38	"a"	18	6	4	10	9	0	1	0	0	0	NA	"S55D165_a_LY"	"3/5/16"	2016-04-12	38	"a"	18	6	4	10	9	0	1	0	0	0	""	""	""	""	"S55D165_a_LY"
"S59D177_a"	"LY"	"IMG_3113.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	13	"a"	24	6	3	1	8	0	0	0	0	0	NA	"S59D177_a_LY"	"3/15/16"	2016-04-12	13	"a"	24	6	3	1	8	0	0	0	0	0	""	""	""	""	"S59D177_a_LY"
"S19D55_a"	"LY"	"IMG_3114.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	24	6	2	3	2	1	0	0	0	0	NA	"S19D55_a_LY"	"2/29/16"	2016-04-12	43	"a"	24	6	2	3	2	1	0	0	0	0	""	""	""	""	"S19D55_a_LY"
"S29D85_a"	"LY"	"IMG_3115.JPG"	NA	NA	NA	NA	2016-03-04	2016-04-12	39	"a"	22	6	4	7	9	3	0	0	0	0	NA	"S29D85_a_LY"	"3/4/16"	2016-04-12	39	"a"	22	6	4	7	9	3	0	0	0	0	""	""	""	""	"S29D85_a_LY"
"S25D75_a"	"LY"	"IMG_3116.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	16	6	1	5	4	0	0	0	0	0	NA	"S25D75_a_LY"	"3/11/16"	2016-04-12	32	"a"	16	6	1	5	4	0	0	0	0	0	""	""	""	""	"S25D75_a_LY"
"S13D37_b"	"LY"	"IMG_3117.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"b"	24	6	1	5	7	0	0	0	0	0	NA	"S13D37_b_LY"	"3/28/16"	2016-04-12	15	"b"	24	6	1	5	7	0	0	0	0	0	""	""	""	""	"S13D37_b_LY"
"S35D103_b"	"LY"	"IMG_3118.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"b"	15	6	4	4	9	0	0	0	0	0	NA	"S35D103_b_LY"	"3/15/16"	2016-04-12	28	"b"	15	6	4	4	9	0	0	0	0	0	""	""	""	""	"S35D103_b_LY"
"S53D159_a"	"LY"	"IMG_3119.JPG"	"yes"	924	NA	NA	2016-03-11	2016-04-12	32	"a"	19	6	1	2	1	0	0	0	0	0	NA	"S53D159_a_LY"	"3/11/16"	2016-04-12	32	"a"	19	6	1	2	1	0	0	0	0	0	""	""	""	""	"S53D159_a_LY"
"S9D25_a"	"LY"	"IMG_3120.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	15	6	2	9	1	0	0	0	0	0	NA	"S9D25_a_LY"	"3/11/16"	2016-04-12	32	"a"	15	6	2	9	1	0	0	0	0	0	""	""	""	""	"S9D25_a_LY"
"S23D69_a"	"LY"	"IMG_3121.JPG"	NA	NA	NA	NA	2016-03-05	2016-04-12	38	"a"	15	6	4	1	9	0	0	0	0	0	NA	"S23D69_a_LY"	"3/5/16"	2016-04-12	38	"a"	15	6	4	1	9	0	0	0	0	0	""	""	""	""	"S23D69_a_LY"
